OTU,RA,SampleID,Notes,ExperimentName,Date,OriginalSampleTypeName,VesselTypeName,VesselName,DilutionDenominator,SampleDay,SampleTimePoint,Day/TimePoint,SampleTimeHourOfDay,SampleTypeName,SamplingProtocolName,MediumName,Replicates,ReplicateGroup,DonorName,ZymoID,VesselVolume,VesselStirring,InitialpH,SetTemperature,SugarTitration,FedBatch
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__NA,0.0,SDG037,FL 1:6_RG+MA,RD721,20/12/2021,Fresh,None,None,6.0,1,1,D1/T1,12:30:00,Fecal Liquid,Anaerobic,None,7,RD721 - 7,RG+MA,,,,,,,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,0.0,SDG037,FL 1:6_RG+MA,RD721,20/12/2021,Fresh,None,None,6.0,1,1,D1/T1,12:30:00,Fecal Liquid,Anaerobic,None,7,RD721 - 7,RG+MA,,,,,,,
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales,0.0,SDG037,FL 1:6_RG+MA,RD721,20/12/2021,Fresh,None,None,6.0,1,1,D1/T1,12:30:00,Fecal Liquid,Anaerobic,None,7,RD721 - 7,RG+MA,,,,,,,
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,0.0,SDG037,FL 1:6_RG+MA,RD721,20/12/2021,Fresh,None,None,6.0,1,1,D1/T1,12:30:00,Fecal Liquid,Anaerobic,None,7,RD721 - 7,RG+MA,,,,,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales,0.0,SDG037,FL 1:6_RG+MA,RD721,20/12/2021,Fresh,None,None,6.0,1,1,D1/T1,12:30:00,Fecal Liquid,Anaerobic,None,7,RD721 - 7,RG+MA,,,,,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales,0.0,SDG037,FL 1:6_RG+MA,RD721,20/12/2021,Fresh,None,None,6.0,1,1,D1/T1,12:30:00,Fecal Liquid,Anaerobic,None,7,RD721 - 7,RG+MA,,,,,,,
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,0.0,SDG037,FL 1:6_RG+MA,RD721,20/12/2021,Fresh,None,None,6.0,1,1,D1/T1,12:30:00,Fecal Liquid,Anaerobic,None,7,RD721 - 7,RG+MA,,,,,,,
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales,0.0,SDG037,FL 1:6_RG+MA,RD721,20/12/2021,Fresh,None,None,6.0,1,1,D1/T1,12:30:00,Fecal Liquid,Anaerobic,None,7,RD721 - 7,RG+MA,,,,,,,
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales,0.0,SDG037,FL 1:6_RG+MA,RD721,20/12/2021,Fresh,None,None,6.0,1,1,D1/T1,12:30:00,Fecal Liquid,Anaerobic,None,7,RD721 - 7,RG+MA,,,,,,,
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,0.0,SDG037,FL 1:6_RG+MA,RD721,20/12/2021,Fresh,None,None,6.0,1,1,D1/T1,12:30:00,Fecal Liquid,Anaerobic,None,7,RD721 - 7,RG+MA,,,,,,,
k__Bacteria;p__Firmicutes;c__NA;o__NA,0.0,SDG037,FL 1:6_RG+MA,RD721,20/12/2021,Fresh,None,None,6.0,1,1,D1/T1,12:30:00,Fecal Liquid,Anaerobic,None,7,RD721 - 7,RG+MA,,,,,,,
