OTU,RA,SampleID,Notes,ExperimentName,Day/TimePoint,ReplicateGroup,DonorName
0;3;3,0.014792198,S018,,RD1,D1/T0,RD628 - 5,CD
0;3;3,0.013561306,S017,,RD1,D1/T0,RD628 - 5,CD
0;1;7,0.01253727,S005,,RD1,D1/T0,RD628 - 2,CD
0;3;3,0.012292878,S005,,RD1,D1/T0,RD628 - 2,CD
0;1;7,0.011531393,S018,,RD1,D1/T0,RD628 - 5,CD
0;1;7,0.011424064,S017,,RD1,D1/T0,RD628 - 5,CD
0;4;8,0.001897196,S018,,RD1,D1/T0,RD628 - 5,CD
0;4;8,0.001653818,S017,,RD1,D1/T0,RD628 - 5,CD
0;8;16,0.000890517,S017,,RD1,D1/T0,RD628 - 5,CD
0;8;16,0.000610978,S005,,RD1,D1/T0,RD628 - 2,CD
0;4;11,0.00061064,S017,,RD1,D1/T0,RD628 - 5,CD
0;8;16,0.000592874,S018,,RD1,D1/T0,RD628 - 5,CD
0;4;11,0.000444655,S018,,RD1,D1/T0,RD628 - 5,CD
0;7;15,0.000366587,S005,,RD1,D1/T0,RD628 - 2,CD
0;4;8,0.000317709,S005,,RD1,D1/T0,RD628 - 2,CD
0;4;11,0.000293269,S005,,RD1,D1/T0,RD628 - 2,CD
1;5;9,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;6;12,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;4;10,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;6;13,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;4;14,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;9;17,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;2;18,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;10;19,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;11;20,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;12;21,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;2;22,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;13;23,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;14;24,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;1;21,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;15;25,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;3;26,0,S005,,RD1,D1/T0,RD628 - 2,CD
2;16;27,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;17;28,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;8;29,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;4;30,0,S005,,RD1,D1/T0,RD628 - 2,CD
2;16;31,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;2;32,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;18;33,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;19;21,0,S005,,RD1,D1/T0,RD628 - 2,CD
0;12;34,0,S005,,RD1,D1/T0,RD628 - 2,CD
1;5;9,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;6;12,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;4;10,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;6;13,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;4;14,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;7;15,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;9;17,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;2;18,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;10;19,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;11;20,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;12;21,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;2;22,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;13;23,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;14;24,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;1;21,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;15;25,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;3;26,0,S017,,RD1,D1/T0,RD628 - 5,CD
2;16;27,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;17;28,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;8;29,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;4;30,0,S017,,RD1,D1/T0,RD628 - 5,CD
2;16;31,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;2;32,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;18;33,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;19;21,0,S017,,RD1,D1/T0,RD628 - 5,CD
0;12;34,0,S017,,RD1,D1/T0,RD628 - 5,CD
1;5;9,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;6;12,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;4;10,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;6;13,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;4;14,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;7;15,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;9;17,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;2;18,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;10;19,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;11;20,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;12;21,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;2;22,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;13;23,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;14;24,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;1;21,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;15;25,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;3;26,0,S018,,RD1,D1/T0,RD628 - 5,CD
2;16;27,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;17;28,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;8;29,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;4;30,0,S018,,RD1,D1/T0,RD628 - 5,CD
2;16;31,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;2;32,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;18;33,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;19;21,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;12;34,0,S018,,RD1,D1/T0,RD628 - 5,CD
0;1;1,0.657477419,S029,,RD1,D1/T0,RD628 - 8,GH
0;1;1,0.63459384,S030,,RD1,D1/T0,RD628 - 8,GH
0;2;2,0.145828489,S030,,RD1,D1/T0,RD628 - 8,GH
0;2;2,0.129894966,S029,,RD1,D1/T0,RD628 - 8,GH
0;3;5,0.088862584,S030,,RD1,D1/T0,RD628 - 8,GH
0;3;5,0.079878784,S029,,RD1,D1/T0,RD628 - 8,GH
0;3;3,0.060812953,S030,,RD1,D1/T0,RD628 - 8,GH
0;3;3,0.057783401,S029,,RD1,D1/T0,RD628 - 8,GH
0;1;4,0.045897202,S029,,RD1,D1/T0,RD628 - 8,GH
0;1;4,0.042148428,S030,,RD1,D1/T0,RD628 - 8,GH
